,StockCode,date,price
173,600887.SH,20200520,28.72
174,600919.SH,20200520,5.99
175,600926.SH,20200520,8.75
176,600958.SH,20200520,9.3
177,600998.SH,20200520,16.98
178,601198.SH,20200520,10.61
179,601288.SH,20200520,3.41
180,601328.SH,20200520,5.15
181,000725.SZ,20200520,3.91
182,603259.SH,20200515,109.33
183,601818.SH,20200521,3.67
184,603288.SH,20200521,118.09
185,600369.SH,20200521,4.44
186,603259.SH,20200520,109.45
187,000661.SZ,20200521,661.81
188,000776.SZ,20200521,13.49
189,002939.SZ,20200525,11.6
190,002673.SZ,20200528,7.91
191,002958.SZ,20200525,4.27
192,300003.SZ,20200525,38.14
193,300136.SZ,20200525,39.1
194,601939.SH,20200528,6.42
195,603501.SH,20200528,182.68
196,603986.SH,20200528,196.49
197,601288.SH,20200525,3.39
198,601328.SH,20200525,5.09
199,002001.SZ,20200525,25.72
200,600535.SH,20200529,14.76
201,000413.SZ,20200529,2.77
202,000415.SZ,20200529,3.08
203,000423.SZ,20200529,35.73
204,002938.SZ,20200529,42.01
205,600998.SH,20200526,17.7
206,601318.SH,20200529,70.71
207,002456.SZ,20200529,14.18
208,600196.SH,20200526,31.55
209,600837.SH,20200526,11.7
210,600928.SH,20200526,5.27
211,601998.SH,20200529,5.02
212,601328.SH,20200529,5.11
213,002475.SZ,20200529,44.5
214,000100.SZ,20200526,5.03
215,601577.SH,20200526,7.71
216,601601.SH,20200526,27.77
217,601607.SH,20200526,17.76
218,601628.SH,20200526,25.56
219,000627.SZ,20200526,5.18
220,000661.SZ,20200526,671.09
221,002241.SZ,20200526,22.42
222,601138.SH,20200526,13.5
223,601211.SH,20200526,15.81
224,601319.SH,20200526,6.14
225,000413.SZ,20200526,2.73
226,600196.SH,20200525,31.34
227,600276.SH,20200525,80.95
228,600369.SH,20200525,4.35
229,000413.SZ,20200527,2.74
230,002236.SZ,20200527,15.11
231,300136.SZ,20200513,44.5
232,002241.SZ,20200514,21.06
233,600887.SH,20200514,29.0
234,600919.SH,20200514,5.92
235,600926.SH,20200514,8.52
236,600958.SH,20200514,9.35
237,600998.SH,20200514,18.43
238,601198.SH,20200514,10.75
239,601288.SH,20200514,3.39
